Date,Message
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:40,25757.5,25765.25,25755.75,25759.25,1058"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:45,25759.75,25762.5,25751,25757.25,2038"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:50,25757,25760.75,25752.5,25759.25,982"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:55,25759.75,25770.25,25758,25769.5,1714"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:00,25769.5,25769.5,25754.25,25758.5,1426"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:05,25758,25763,25750,25751.5,1164"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:10,25751.5,25752.5,25743.5,25751,1816"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:15,25750.25,25755,25747.5,25748.25,1171"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:20,25747.75,25756,25745.25,25756,1243"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:25,25755.25,25755.75,25746.5,25749,756"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:30,25747.5,25762.5,25745.5,25761,1696"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:35,25760.75,25765,25755,25764.75,1529"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:40,25765,25768.25,25762,25765,871"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:45,25764.5,25766,25752.5,25756.25,1180"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:50,25756,25770,25755.25,25767.25,1100"
2026-01-16T16:55:00.000-05:00,"2026-01-08 10:55,25767.5,25774.5,25764.75,25772.5,1231"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:00,25772.5,25779.25,25770,25774.75,1609"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:05,25774.75,25780.75,25764.25,25765.75,1448"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:10,25765.5,25776,25762.75,25774,1357"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:15,25774,25775,25766,25772,749"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:20,25771.5,25776.75,25770,25776.5,576"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:25,25776.5,25786.25,25775,25778.75,1980"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:30,25778.25,25785.75,25739,25781,7404"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:35,25781.75,25783.75,25764.5,25771.75,1971"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:40,25771.75,25783,25770.75,25774.75,1405"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:45,25774.25,25777.75,25767.75,25777.25,1179"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:50,25777,25785,25774,25780,1233"
2026-01-16T16:55:00.000-05:00,"2026-01-08 11:55,25780,25781.25,25767.75,25770.75,1259"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:00,25770.5,25774.75,25746.5,25752.25,3905"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:05,25751.75,25761.25,25747.25,25755,2783"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:10,25755.25,25763.75,25753.5,25759.5,1746"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:15,25760,25769.5,25758.75,25764,1741"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:20,25763.5,25774.75,25759,25772.75,1679"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:25,25773.25,25777.75,25767.75,25774.5,1504"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:30,25774,25774.75,25757.5,25761.25,2023"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:35,25760.75,25761.25,25753.75,25755.5,1462"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:40,25756.25,25763.75,25754.5,25758.25,1550"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:45,25758.75,25768.75,25754.75,25767.5,1346"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:50,25767.25,25776.75,25766.5,25773.5,1458"
2026-01-16T16:55:00.000-05:00,"2026-01-08 12:55,25772.75,25777.25,25766,25767.5,1503"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:00,25767.25,25767.5,25757,25763,1768"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:05,25763.75,25774.75,25761.25,25768.5,1412"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:10,25769.5,25787,25768,25782.75,2766"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:15,25783,25800.75,25772.25,25796,3755"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:20,25796.75,25810.5,25796.75,25803.25,4571"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:25,25802.5,25808.25,25798.5,25804,2202"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:30,25803.5,25818.75,25786,25792.25,7042"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:35,25793.25,25803.25,25786.25,25801,3664"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:40,25800,25806.25,25795.75,25799.25,3560"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:45,25799.25,25799.75,25790.25,25794.25,3121"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:50,25794.25,25798.75,25788.75,25792,2621"
2026-01-16T16:55:00.000-05:00,"2026-01-08 13:55,25792,25801.25,25787.5,25799.25,2846"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:00,25799,25808.75,25781.25,25800,6652"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:05,25800,25805.25,25794.75,25804.5,3527"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:10,25804.5,25811,25793,25795,4066"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:15,25794.75,25799,25786.5,25787.75,3634"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:20,25787.5,25791.25,25777.75,25781.25,3927"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:25,25781.25,25791.25,25774,25785.5,7147"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:30,25786.25,25802.75,25692.5,25705.75,61824"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:35,25705.75,25729.75,25676.5,25679,43668"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:40,25678.5,25700.75,25613.25,25622.25,47993"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:45,25622.25,25676.25,25597.5,25649.75,46254"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:50,25648.75,25671.25,25618.5,25652,38087"
2026-01-16T16:55:00.000-05:00,"2026-01-08 14:55,25652.25,25659,25600.25,25603.5,38278"
2026-01-16T16:55:00.000-05:00,"2026-01-08 15:00,25603.25,25615,25569.5,25609.25,44143"
2026-01-16T16:55:00.000-05:00,"2026-01-08 15:05,25609.5,25682.5,25601.75,25678.5,43097"
2026-01-16T16:55:00.000-05:00,"2026-01-08 15:10,25678.5,25681.75,25652.75,25677.25,23178"
